/*
 * To change this license header, choose License Headers in Project Properties.
 * To change this template file, choose Tools | Templates
 * and open the template in the editor.
 */line 0 cols 0-188 is COMMENT
package                                           line 5 cols 7-14 is T_IDENTIFIER
php                                               line 5 cols 11-14 is T_IDENTIFIER
.                                                 line 5 cols 12-13 is T_PUNCTUATION
scanner                                           line 5 cols 19-26 is T_IDENTIFIER
;                                                 line 5 cols 20-21 is T_PUNCTUATION
import                                            line 7 cols 6-12 is T_IDENTIFIER
java                                              line 7 cols 11-15 is T_IDENTIFIER
.                                                 line 7 cols 12-13 is T_PUNCTUATION
awt                                               line 7 cols 15-18 is T_IDENTIFIER
.                                                 line 7 cols 16-17 is T_PUNCTUATION
Color                                             line 7 cols 21-26 is T_IDENTIFIER
;                                                 line 7 cols 22-23 is T_PUNCTUATION
import                                            line 8 cols 6-12 is T_IDENTIFIER
java                                              line 8 cols 11-15 is T_IDENTIFIER
.                                                 line 8 cols 12-13 is T_PUNCTUATION
io                                                line 8 cols 14-16 is T_IDENTIFIER
.                                                 line 8 cols 15-16 is T_PUNCTUATION
BufferedReader                                    line 8 cols 29-43 is T_IDENTIFIER
;                                                 line 8 cols 30-31 is T_PUNCTUATION
import                                            line 9 cols 6-12 is T_IDENTIFIER
java                                              line 9 cols 11-15 is T_IDENTIFIER
.                                                 line 9 cols 12-13 is T_PUNCTUATION
io                                                line 9 cols 14-16 is T_IDENTIFIER
.                                                 line 9 cols 15-16 is T_PUNCTUATION
File                                              line 9 cols 19-23 is T_IDENTIFIER
;                                                 line 9 cols 20-21 is T_PUNCTUATION
import                                            line 10 cols 6-12 is T_IDENTIFIER
java                                              line 10 cols 11-15 is T_IDENTIFIER
.                                                 line 10 cols 12-13 is T_PUNCTUATION
io                                                line 10 cols 14-16 is T_IDENTIFIER
.                                                 line 10 cols 15-16 is T_PUNCTUATION
FileNotFoundException                             line 10 cols 36-57 is T_IDENTIFIER
;                                                 line 10 cols 37-38 is T_PUNCTUATION
import                                            line 11 cols 6-12 is T_IDENTIFIER
java                                              line 11 cols 11-15 is T_IDENTIFIER
.                                                 line 11 cols 12-13 is T_PUNCTUATION
io                                                line 11 cols 14-16 is T_IDENTIFIER
.                                                 line 11 cols 15-16 is T_PUNCTUATION
FileReader                                        line 11 cols 25-35 is T_IDENTIFIER
;                                                 line 11 cols 26-27 is T_PUNCTUATION
import                                            line 12 cols 6-12 is T_IDENTIFIER
java                                              line 12 cols 11-15 is T_IDENTIFIER
.                                                 line 12 cols 12-13 is T_PUNCTUATION
io                                                line 12 cols 14-16 is T_IDENTIFIER
.                                                 line 12 cols 15-16 is T_PUNCTUATION
IOException                                       line 12 cols 26-37 is T_IDENTIFIER
;                                                 line 12 cols 27-28 is T_PUNCTUATION
import                                            line 13 cols 6-12 is T_IDENTIFIER
java                                              line 13 cols 11-15 is T_IDENTIFIER
.                                                 line 13 cols 12-13 is T_PUNCTUATION
io                                                line 13 cols 14-16 is T_IDENTIFIER
.                                                 line 13 cols 15-16 is T_PUNCTUATION
PrintWriter                                       line 13 cols 26-37 is T_IDENTIFIER
;                                                 line 13 cols 27-28 is T_PUNCTUATION
import                                            line 14 cols 6-12 is T_IDENTIFIER
java                                              line 14 cols 11-15 is T_IDENTIFIER
.                                                 line 14 cols 12-13 is T_PUNCTUATION
io                                                line 14 cols 14-16 is T_IDENTIFIER
.                                                 line 14 cols 15-16 is T_PUNCTUATION
Reader                                            line 14 cols 21-27 is T_IDENTIFIER
;                                                 line 14 cols 22-23 is T_PUNCTUATION
import                                            line 15 cols 6-12 is T_IDENTIFIER
java                                              line 15 cols 11-15 is T_IDENTIFIER
.                                                 line 15 cols 12-13 is T_PUNCTUATION
util                                              line 15 cols 16-20 is T_IDENTIFIER
.                                                 line 15 cols 17-18 is T_PUNCTUATION
logging                                           line 15 cols 24-31 is T_IDENTIFIER
.                                                 line 15 cols 25-26 is T_PUNCTUATION
Level                                             line 15 cols 30-35 is T_IDENTIFIER
;                                                 line 15 cols 31-32 is T_PUNCTUATION
import                                            line 16 cols 6-12 is T_IDENTIFIER
java                                              line 16 cols 11-15 is T_IDENTIFIER
.                                                 line 16 cols 12-13 is T_PUNCTUATION
util                                              line 16 cols 16-20 is T_IDENTIFIER
.                                                 line 16 cols 17-18 is T_PUNCTUATION
logging                                           line 16 cols 24-31 is T_IDENTIFIER
.                                                 line 16 cols 25-26 is T_PUNCTUATION
Logger                                            line 16 cols 31-37 is T_IDENTIFIER
;                                                 line 16 cols 32-33 is T_PUNCTUATION
